img	comment	related text	question	answer		
		Strozzi, a monk of the Capucines Order, was the most significant painter in Genova at the beginning of the 17th century.	Who was the most significant painter in Genova at the beginning of the 17th century?	Strozzi		
09970-decadenc.jpg	The peak in theatrical Romanticism came in the Salon of 1847, Couture, a pupil of Gros, exhibited this painting nearly eight meters long. It had been commissioned by the government for the Palais du Luxembourg. One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism. Not only does the work cite painterly and compositional devices from old masters like Veronese, Tiepolo, Rubens and Poussin, but to Couture's contemporaries the artist also seemed to have succeeded in combining Antiquity and the present. It is all to be found united here:  the antique columned hall, sculpture competing with living figures, beautiful forms created with line  in the manner of Ingres, and Delaroche's delight in detail.A woman is the central figure, placed so that she will draw all eyes. She is stretched out in the middle of a large crowd of people who are abandoning themselves to all the vices that are supposed to have led to the downfall of Roma. The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue					
		One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism.	What can Couture see the work as that French painting had striven for between the Neoclassical period and Romanticism?	as the sum of all		
		It is all to be found united here: the antique columned hall, sculpture competing with living figures, beautiful forms created with line in the manner of Ingres, and Delaroche's delight in detail.	What is all to be found united here: the antique columned hall?	Couture		
		The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue	What are their gestures seeming to demand a return to virtue?	five larger-than-life-size sculptures representing men from Roman history		
		One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism.	What can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism?	Couture		
		A woman is the central figure, placed so that she will draw all eyes.	What is a woman the central figure, placed so?	that she will draw all eyes		
		One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism.	When can Couture see the work as the sum of all that French painting had striven for?	between the Neoclassical period and Romanticism		
		The peak in theatrical Romanticism came in the Salon of 1847, Couture, a pupil of Gros, exhibited this painting nearly eight meters long.	What was a pupil of Gros?	Couture		
		One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism.	When can Couture see the work as the sum of all?	that French painting had striven for between the Neoclassical period and Romanticism		
		The peak in theatrical Romanticism came in the Salon of 1847, Couture, a pupil of Gros, exhibited this painting nearly eight meters long.	Who was Couture?	a pupil of Gros		
		The peak in theatrical Romanticism came in the Salon of 1847, Couture, a pupil of Gros, exhibited this painting nearly eight meters long.	Who was Couture a pupil of?	of Gros		
		The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue	What is the scene framed by?	by five larger-than-life-size sculptures representing men from Roman history		
		It had been commissioned by the government for the Palais du Luxembourg.	What had Couture been commissioned by for the Palais du Luxembourg?	by the government		
		It is all to be found united here: the antique columned hall, sculpture competing with living figures, beautiful forms created with line in the manner of Ingres, and Delaroche's delight in detail.	What is the antique columned hall?	sculpture competing with living figures in detail		
		It is all to be found united here: the antique columned hall, sculpture competing with living figures, beautiful forms created with line in the manner of Ingres, and Delaroche's delight in detail.	What are beautiful forms created with line in the manner of Ingres, and Delaroche's delight?	figures		
		The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue	How many larger-than-life-size sculptures representing men from Roman history are their gestures seeming to demand a return to virtue?	five larger-than-life-size sculptures representing men from Roman history		
		One can see the work as the sum of all that French painting had striven for between the Neoclassical period and Romanticism.	What can Couture see as the sum of all that French painting had striven for between the Neoclassical period and Romanticism?	the work		
		It is all to be found united here: the antique columned hall, sculpture competing with living figures, beautiful forms created with line in the manner of Ingres, and Delaroche's delight in detail.	What are figures?	beautiful forms created with line in the manner of Ingres, and Delaroche's delight		
		It had been commissioned by the government for the Palais du Luxembourg.	What had Couture been commissioned by the government for?	for the Palais du Luxembourg		
		The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue	What is framed by five larger-than-life-size sculptures representing men from Roman history?	the scene		
		It had been commissioned by the government for the Palais du Luxembourg.	What had been commissioned by the government for the Palais du Luxembourg?	Couture		
		The peak in theatrical Romanticism came in the Salon of 1847, Couture, a pupil of Gros, exhibited this painting nearly eight meters long.	What did Couture exhibit nearly eight meters long the peak in theatrical Romanticism came in the Salon of 1847?	this painting		
		The scene is framed by five larger-than-life-size sculptures representing men from Roman history, their gestures seeming to demand a return to virtue	What are five larger-than-life-size sculptures representing men from Roman history?	their gestures seeming to demand a return to virtue		
		It is all to be found united here: the antique columned hall, sculpture competing with living figures, beautiful forms created with line in the manner of Ingres, and Delaroche's delight in detail.	What is sculpture competing with living figures in detail?	the antique columned hall		
00134-horse.jpg	In England Agasse was praised for his extreme devotion to art, of his marvellous knowledge of anatomy, of his special fondness for the English racehorses, and his excellence in depicting them					
		In England Agasse was praised for his extreme devotion to art, of his marvellous knowledge of anatomy, of his special fondness for the English racehorses, and his excellence in depicting them	What was Agasse praised for in England?	for his extreme devotion		
40893-04virgin.jpg	The anonymous artist who executed this panel is referred to as the Master of the Embroidered Foliage. This name  is based on his characteristic foregrounds, carpeted with flowers and decorative leaves. He appears to have been active in Brussels and the South Netherlands, and was clearly influenced by such Flemish masters as Rogier van der Weyden and Hugo van der Goes.This painting is one of several autograph variant versions. A version having a similar throne is in the National Gallery of Scotland, Edinburgh. The Virgin and Child were copied from two different compositions by Rogier van der Weyden					
		He appears to have been active in Brussels and the South Netherlands, and was clearly influenced by such Flemish masters as Rogier van der Weyden and Hugo van der Goes.	Who was clearly influenced by such Flemish masters as Rogier van der Weyden and Hugo van der Goes?	the anonymous artist who executed this panel		
		This painting is one of several autograph variant versions.	What is one of several autograph variant versions?	this painting		
		This name is based on his characteristic foregrounds, carpeted with flowers and decorative leaves.	What are carpeted with flowers and decorative leaves?	the anonymous artist who executed this panel's characteristic foregrounds		
		A version having a similar throne is in the National Gallery of Scotland, Edinburgh.	What is in the National Gallery of Scotland, Edinburgh?	a version having a similar throne		
		A version having a similar throne is in the National Gallery of Scotland, Edinburgh.	What is a version having a similar throne in?	in the National Gallery of Scotland, Edinburgh		
		The anonymous artist who executed this panel is referred to as the Master of the Embroidered Foliage.	Who is referred to as the Master of the Embroidered Foliage?	the anonymous artist who executed this panel		
		He appears to have been active in Brussels and the South Netherlands, and was clearly influenced by such Flemish masters as Rogier van der Weyden and Hugo van der Goes.	Who Goes?	Rogier van der Weyden and Hugo van der		
		The Virgin and Child were copied from two different compositions by Rogier van der Weyden	Who were copied from two different compositions by Rogier van der Weyden?	the Virgin and Child		
		The Virgin and Child were copied from two different compositions by Rogier van der Weyden	What were the Virgin and Child copied from by Rogier van der Weyden?	from two different compositions		
		The Virgin and Child were copied from two different compositions by Rogier van der Weyden	Who were the Virgin and Child copied from two different compositions by?	by Rogier van der Weyden		
		He appears to have been active in Brussels and the South Netherlands, and was clearly influenced by such Flemish masters as Rogier van der Weyden and Hugo van der Goes.	Who appears to have been active in Brussels and the South Netherlands?	the anonymous artist who executed this panel		
35943-2maurits.jpg	Saenredam's present view depicts the old medieval Town Hall, including the storks' nests on the wooden structures placed for them on the ridge of the roof. The event depicted here took place during the latter stages of the Twelve Years Truce with the Spanish, when the nascent Dutch Republic was riven with internal political and religious strife.The concept and most of the execution of this painting are entirely that of Saenredam, the staffage figures and horses are by Pieter Post					
		Saenredam's present view depicts the old medieval Town Hall, including the storks ' nests on the wooden structures placed for them on the ridge of the roof.	What does Saenredam's present view depict?	the old medieval Town Hall		
		Saenredam's present view depicts the old medieval Town Hall, including the storks ' nests on the wooden structures placed for them on the ridge of the roof.	What depicts the old medieval Town Hall?	Saenredam's present view		
		The event depicted here took place during the latter stages of the Twelve Years Truce with the Spanish, when the nascent Dutch Republic was riven with internal political and religious strife.	What did the event depicted here take place during the latter stages of the Twelve Years Truce with?	with the Spanish		
		The concept and most of the execution of this painting are entirely that of Saenredam, the staffage figures and horses are by Pieter Post	What are entirely that of Saenredam, the staffage figures and horses are by Pieter Post?	the concept and most of the execution of this painting		
		The event depicted here took place during the latter stages of the Twelve Years Truce with the Spanish, when the nascent Dutch Republic was riven with internal political and religious strife.	When did the event depicted here take place with the Spanish?	during the latter stages of the Twelve Years Truce		
		Saenredam's present view depicts the old medieval Town Hall, including the storks ' nests on the wooden structures placed for them on the ridge of the roof.	Whose present view depicts the old medieval Town Hall?	Saenredam's present view		
		The event depicted here took place during the latter stages of the Twelve Years Truce with the Spanish, when the nascent Dutch Republic was riven with internal political and religious strife.	What took place during the latter stages of the Twelve Years Truce with the Spanish?	the event depicted here		
		The event depicted here took place during the latter stages of the Twelve Years Truce with the Spanish, when the nascent Dutch Republic was riven with internal political and religious strife.	What did the event depicted here take during the latter stages of the Twelve Years Truce with the Spanish?	place		
16952-4portina.jpg	Soberly painted in monochrome, the panels are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation. The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures					
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What was enriched only by the copious folds of the robes surrounding the figures?	the extremely bare, linear setting		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What are portrayed under a series of perspectively receding arches?	the enormous figures		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What are the enormous figures portrayed under?	under a series of perspectively receding arches		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What are in an extremely bare, linear setting?	the enormous figures		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What the enormous figures are in?	in an extremely bare, linear setting		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	Where the enormous figures are?	in an extremely bare, linear setting		
		Soberly painted in monochrome, the panels are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation.	What were the panels painted in?	in monochrome		
		Soberly painted in monochrome, the panels are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation.	Who are the panels entirely occupied by?	by the Archangel Gabriel and the Virgin of the Annunciation		
		Soberly painted in monochrome, the panels are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation.	What are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation?	the panels		
		The enormous figures are portrayed under a series of perspectively receding arches and in an extremely bare, linear setting, enriched only by the copious folds of the robes surrounding the figures	What was the extremely bare, linear setting enriched only by?	only by the copious folds of the robes surrounding the figures		
		Soberly painted in monochrome, the panels are entirely occupied by the Archangel Gabriel and the Virgin of the Annunciation.	What were painted in monochrome?	the panels		
04592-venus_cu.jpg	Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident. The artist was further influenced by his pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes. Furini's influence on his teacher is clear in the present painting					
		The artist was further influenced by his pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes.	Who was the artist further influenced by?	by Francesco Furini's pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes		
		The artist was further influenced by his pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes.	Whose pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes was the artist further influenced by?	by Francesco Furini's pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	When was Bilivert inspired Venetian painting was evident?	by sixteenth century		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	What was Bilivert inspired by sixteenth century?	Venetian painting was evident		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	What was Venetian painting?	Veronese's influence		
		Furini's influence on his teacher is clear in the present painting	What is Furini's influence on the artist's teacher clear in?	in the present painting		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	What was Bilivert inspired by sixteenth century was evident?	Venetian painting		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	Who employed loose brushwork and warm effects of light and shadow?	Bilivert		
		Furini's influence on his teacher is clear in the present painting	Whose influence on the artist's teacher is clear in the present painting?	Furini's influence on the artist's teacher		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	What was Veronese's influence?	Venetian painting		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	Whose influence was Venetian painting?	Veronese's influence		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	Who was inspired by sixteenth century Venetian painting was evident?	Bilivert		
		Employing loose brushwork and warm effects of light and shadow, Bilivert was inspired by sixteenth century Venetian painting, Veronese's influence was evident.	What did Bilivert employ?	loose brushwork and warm effects of light and shadow		
		Furini's influence on his teacher is clear in the present painting	What is clear in the present painting?	Furini's influence on the artist's teacher		
		The artist was further influenced by his pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes.	Who was further influenced by Francesco Furini's pupil, Francesco Furini, famous for his soft sfumato effects and the ambiguous sensuality of his many female nudes?	the artist		
39433-3senate.jpg	The picture shows the view toward the throne in the Hall of the Senate. Above the throne Tintoretto's The Dead Christ Adored by Doges Pietro Lando and Marcantonio Trevisan can be seen. In the centre of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti					
		The picture shows the view toward the throne in the Hall of the Senate.	What does the picture show?	the view toward the throne in the Hall of the Senate		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	What is decoration the Triumph of by Tintoretto and Doges Pietro Lando's son in the center of the ceiling?	of Venice		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	Where is decoration the Triumph of Venice by Tintoretto and Doges Pietro Lando's son?	in the center of the ceiling		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	What is decoration the Triumph of Venice by Tintoretto and Doges Pietro Lando's son in?	in the center of the ceiling		
		The picture shows the view toward the throne in the Hall of the Senate.	What shows the view toward the throne in the Hall of the Senate?	the picture		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	Who is Doges Pietro Lando's son?	Domenico Robusti		
		Above the throne Tintoretto's The Dead Christ Adored by Doges Pietro Lando and Marcantonio Trevisan can be seen.	What can be seen above the throne?	Tintoretto's The Dead Christ Adored by Doges Pietro Lando and Marcantonio Trevisan		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	Who is Domenico Robusti?	Doges Pietro Lando's son		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	Whose son is Domenico Robusti?	Doges Pietro Lando's son		
		Above the throne Tintoretto's The Dead Christ Adored by Doges Pietro Lando and Marcantonio Trevisan can be seen.	What can Tintoretto's The Dead Christ Adored by Doges Pietro Lando and Marcantonio Trevisan be seen above?	above the throne		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	Who is decoration the Triumph of Venice by in the center of the ceiling?	by Tintoretto and Doges Pietro Lando's son		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	What is decoration by Tintoretto and Doges Pietro Lando's son in the center of the ceiling?	the Triumph of Venice		
		In the center of the ceiling decoration is the Triumph of Venice by Tintoretto and his son, Domenico Robusti	What is the Triumph of Venice by Tintoretto and Doges Pietro Lando's son in the center of the ceiling?	decoration		
14512-lazar.jpg	This is the only other authentic work of Froment beside The Burning Bush. The central panel depicts The Raising of Lazarus, the other scenes on the side panels are Magdalen Anoints the Feet of Christ (right wing), Martha at the Feet of Christ (left wing), The Donors (outer face of right wing), The Madonna and Child (outer face of left wing).The tradition that the triptych was painted for Cosimo il Vecchio is rendered improbable by the fact that the donor is in clerical dress. The painting of the exterior faces, which bears the signature, is of a quality superior to that of the interior ones. It is assumed that the man looking out of the picture at the upper left corner of the central panel is a self-portrait					
		It is assumed that the man looking out of the picture at the upper left corner of the central panel is a self-portrait	What is the painting assumed that the man looking out of the picture at the upper left corner of the central panel is?	a self-portrait		
		The tradition that the triptych was painted for Cosimo il Vecchio is rendered improbable by the fact that the donor is in clerical dress.	What is the tradition that the triptych was painted for Cosimo il Vecchio rendered improbable by?	by the fact that the donor is in clerical dress		
		The painting of the exterior faces, which bears the signature, is of a quality superior to that of the interior ones.	What does the painting of the exterior faces bear?	the signature		
		It is assumed that the man looking out of the picture at the upper left corner of the central panel is a self-portrait	What is the painting assumed?	that the man looking out of the picture at the upper left corner of the central panel is a self-portrait		
		The painting of the exterior faces, which bears the signature, is of a quality superior to that of the interior ones.	What is the painting of the exterior faces of a quality superior to?	to that of the interior ones		
		It is assumed that the man looking out of the picture at the upper left corner of the central panel is a self-portrait	What is assumed that the man looking out of the picture at the upper left corner of the central panel is a self-portrait?	the painting		
		The tradition that the triptych was painted for Cosimo il Vecchio is rendered improbable by the fact that the donor is in clerical dress.	What is rendered improbable by the fact that the donor is in clerical dress?	the tradition that the triptych was painted for Cosimo il Vecchio		
		The painting of the exterior faces, which bears the signature, is of a quality superior to that of the interior ones.	What bears the signature?	the painting of the exterior faces		
		This is the only other authentic work of Froment beside The Burning Bush.	What is the only other authentic work of Froment beside The Burning Bush?	this		
10321-09elect2.jpg	The posthumous portrait of Elector Friedrich III the Wise of Saxony (1463-1525) is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468). It was one of the side panels of a triptych					
		The posthumous portrait of Elector Friedrich III the Wise of Saxony is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468).	Whose brother is the Elector Johann?	Friedrich's brother		
		The posthumous portrait of Elector Friedrich III the Wise of Saxony is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468).	Who is the Elector Johann?	Friedrich's brother		
		It was one of the side panels of a triptych	What was the posthumous portrait of Elector Friedrich III the Wise of Saxony one of?	of the side panels of a triptych		
		The posthumous portrait of Elector Friedrich III the Wise of Saxony is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468).	Who is the posthumous portrait of Elector Friedrich III the Wise of Saxony?	the companion-piece to the portrait of Friedrich's brother		
		It was one of the side panels of a triptych	What was the posthumous portrait of Elector Friedrich III the Wise of Saxony?	one of the side panels of a triptych		
		The posthumous portrait of Elector Friedrich III the Wise of Saxony is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468).	What is the companion-piece to the portrait of Friedrich's brother?	the posthumous portrait of Elector Friedrich III the Wise of Saxony		
		The posthumous portrait of Elector Friedrich III the Wise of Saxony is the companion-piece to the portrait of Friedrich's brother, the Elector Johann (b. 1468).	Who is Friedrich's brother?	the Elector Johann		
		It was one of the side panels of a triptych	What was one of the side panels of a triptych?	the posthumous portrait of Elector Friedrich III the Wise of Saxony		
39841-0chieri1.jpg	The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza. It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple fa�ade that is barely enlivened by a tympanum supported by four Ionic pilasters. A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput. During one of the updatings the frescoes were painted over, and it was not until the beginning of the nineteenth century, on the occasion of yet another restoration, that they were finally revealed.The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land. These are extremely naturalistic paintings, at times enlivened by the presence of slender little figures rendered with a touch of vitality.On the wall shown in the present picture, the vivid figure of the page and his greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape					
		These are extremely naturalistic paintings, at times enlivened by the presence of slender little figures rendered with a touch of vitality.	What are extremely naturalistic paintings?	these		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	What was an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters?	time's current architectural form		
		During one of the updatings the frescoes were painted over, and it was not until the beginning of the nineteenth century, on the occasion of yet another restoration, that they were finally revealed.	What were painted over during one of the updatings?	the frescoes		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	What were each incorporating two zodiac signs?	landscape scenes		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	When resulted in time's current architectural form?	the first half of the sixteenth century		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	When are Landscapes's related zodiac signs the marking?	of time		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	What contain explicit references to the sequence of the seasons and their related zodiac signs that rhythmically measures the work and the days of good guardianship of the land?	the landscapes		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	What did the first half of the sixteenth century result in?	in time's current architectural form		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	What was a room on the north side decorated with by Lodewijk Toeput?	with six frescoes of landscape scenes		
		On the wall shown in the present picture, the vivid figure of the page and his greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape	What do the vivid figure of the page and the Villa Chiericati's greyhound stand out flanked by between Autumn and Winter and a Winter Landscape on the wall shown in the present picture?	by a Landscape		
		The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza.	When was the Villa Chiericati built for Ludovico Chiericati?	in the first half of the sixteenth century		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	What underwent numerous restorations and reworkings over time?	it		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	Who was the north side called Room of?	of Landscapes		
		On the wall shown in the present picture, the vivid figure of the page and his greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape	When do the vivid figure of the page and the Villa Chiericati's greyhound stand out flanked by a Landscape on the wall shown in the present picture?	between Autumn and Winter and a Winter Landscape		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	When did the first half of the sixteenth century undergo numerous restorations and reworkings?	over time		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	What was decorated with six frescoes of landscape scenes by Lodewijk Toeput?	a room on the north side		
		During one of the updatings the frescoes were painted over, and it was not until the beginning of the nineteenth century, on the occasion of yet another restoration, that they were finally revealed.	What was one of the updatings not until?	until the beginning of the nineteenth century		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	What are the marking of time?	Landscapes's related zodiac signs		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	When underwent numerous restorations and reworkings over time?	the first half of the sixteenth century		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	Who was a room on the north side decorated with six frescoes of landscape scenes by?	by Lodewijk Toeput		
		During one of the updatings the frescoes were painted over, and it was not until the beginning of the nineteenth century, on the occasion of yet another restoration, that they were finally revealed.	What were the frescoes painted over during?	during one of the updatings		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	What are Landscapes's related zodiac signs?	the marking of time		
		On the wall shown in the present picture, the vivid figure of the page and his greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape	What stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape on the wall shown in the present picture?	the vivid figure of the page and the Villa Chiericati's greyhound		
		On the wall shown in the present picture, the vivid figure of the page and his greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape	What do the vivid figure of the page and the Villa Chiericati's greyhound stand out flanked by a Landscape between Autumn and Winter and a Winter Landscape on?	on the wall shown in the present picture		
		During one of the updatings the frescoes were painted over, and it was not until the beginning of the nineteenth century, on the occasion of yet another restoration, that they were finally revealed.	What was not until the beginning of the nineteenth century?	one of the updatings		
		The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza.	Who was Ludovico Chiericati?	a nobleman from Vicenza		
		The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza.	Who was a nobleman from Vicenza?	Ludovico Chiericati		
		The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza.	Who was the Villa Chiericati built in the first half of the sixteenth century for?	for Ludovico Chiericati		
		The Villa Chiericati was built in the first half of the sixteenth century for Ludovico Chiericati, a nobleman from Vicenza.	Who was built in the first half of the sixteenth century for Ludovico Chiericati?	the Villa Chiericati		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	What were landscape scenes?	each incorporating two zodiac signs		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	What do the landscapes contain?	explicit references to the sequence of the seasons and their related zodiac signs that rhythmically measures the work and the days of good guardianship of the land		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	Who was the north side called?	Room of Landscapes		
		A room on the north side, called Room of Landscapes, was decorated with six frescoes of landscape scenes, each incorporating two zodiac signs, by Lodewijk Toeput.	What was called Room of Landscapes?	the north side		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	When did the first half of the sixteenth century undergo over time?	numerous restorations and reworkings		
		It underwent numerous restorations and reworkings over time, resulting in its current architectural form, an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters.	What was time's current architectural form?	an extended structure with a simple faade that is barely enlivened by a tympanum supported by four Ionic pilasters		
		The landscapes contain explicit references to the sequence of the seasons and their related zodiac signs, the marking of time that rhythmically measures the work and the days of good guardianship of the land.	Whose related zodiac signs are the marking of time?	Landscapes's related zodiac signs		
13363-l2soldi.jpg	The community of saints also extends onto the side panels. Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges					
		Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges	Who represents the Soldiers of Christ?	magnificently arrayed horsemen		
		Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges	Who does magnificently arrayed horsemen represent the Soldiers of?	of Christ		
		The community of saints also extends onto the side panels.	What does the community of saints also extend onto?	onto the side panels		
		The community of saints also extends onto the side panels.	What also extends onto the side panels?	the community of saints		
		Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges	Who are followed by the Just Judges?	magnificently arrayed horsemen		
